Number of Iteration ,Test Data,Accuracy %,Error=(1-accuracy)
1,45,82.22222222222221,0.1777777777777778
2,45,80.0,0.19999999999999996
3,45,82.22222222222221,0.1777777777777778
4,45,88.88888888888889,0.11111111111111116
5,45,82.22222222222221,0.1777777777777778
6,45,80.0,0.19999999999999996
7,45,91.11111111111111,0.0888888888888889
8,45,77.77777777777779,0.2222222222222221
9,45,86.66666666666667,0.1333333333333333
10,45,88.88888888888889,0.11111111111111116
